8497	AMP current Cmd	R	U	D	A	2	
8498	AMP Prereg Voltage / TC	R	U	D	V	2	
8500	MO Current sampled / TM	R	U	D	A	2	
8501	PREAMP I sampled / TM	R	U	D	A	2	
8502	AMP Current sampled / TM	R	U	D	A	2	
8503	AMP Voltage Sampled / TM	R	U	D	V	2	
8504	AMP Voltage Cmd / TM	R	U	D	V	2	
8505	Voltage	R	U	D	V	2	
8506	THC Temperature	R	U	D	°C	2	
8507	RLH Voltage	R	U	D	V	2	
8511	Temperature	R	U	D	°C	2	
8512	Temperature	R	U	D	°C	2	
8513	Temperature	R	U	D	°C	2	
8514	Temperature	R	U	D	°C	2	
8515	Temperature	R	U	D	°C	2	
8516	Temperature	R	U	D	°C	2	
8517	Temperature	R	U	D	°C	2	
8518	Temperature	R	U	D	°C	2	
8519	Temperature	R	U	D	°C	2	
8520	Temperature	R	U	D	°C	2	
8521	Temperature	R	U	D	°C	2	
8522	Temperature	R	U	D	°C	2	
8523	Temperature	R	U	D	°C	2	
8524	Temperature	R	U	D	°C	2	
8525	Temperature	R	U	D	°C	2	
8526	Temperature	R	U	D	°C	2	
8527	Temperature	R	U	D	°C	2	
